Instance,T2M_Actual,T2M_Predicted
294,9.82,7.038254613168032
295,9.22,6.608694157840606
296,20.49,14.676389621144711
297,21.43,15.350000516766897
298,22.6,16.190098173223156
299,20.74,14.860059069405951
300,20.94,14.998934917312841
301,20.84,14.928804290273732
302,21.32,15.270917837177691
303,19.82,14.19762300377578
304,20.6,14.758071492763756
305,19.0,13.613231863718243
306,24.13,17.28620358672869
307,16.05,11.500413096174421
308,10.35,7.4181303853746545
309,20.53,14.70710072176993
310,8.03,5.756408657833838
311,15.039999999999997,10.776828510684599
312,7.31,5.2400196052802075
313,18.82,13.483968535319283
314,21.81,15.62057529313485
315,20.48,14.67007130220261
316,14.350000000000001,10.283505865069952
317,11.29,8.090878058961097
318,15.15,10.855911010652497
319,22.74,16.291679788290992
320,11.27,8.07726618841299
321,8.51,6.099511288308081
322,13.139999999999999,9.416471303710264
323,15.91,11.399824889169007
324,21.17,15.163133478076091
325,11.98,8.585248967646141
326,19.82,14.197752151243883
327,21.13,15.134799171433384
328,9.62,6.895301144875386
329,24.99,17.899359519524946
330,18.87,13.518151288307239
331,15.579999999999998,11.164388591823611
332,21.16,15.15898888908798
333,21.07,15.092297415032274
334,18.79,13.462341920971298
335,15.91,11.400257972337355
336,16.22,11.62222276807122
337,6.240000000000001,4.47277664925458
338,8.07,5.784811251330406
339,19.8,14.183090930362727
340,7.6,5.447540868851348
341,13.749999999999998,9.853934092305092
342,12.96,9.286987174299043
343,15.569999999999999,11.156441679127795
344,19.52,13.983560527064443
345,14.45,10.35410620925453
346,20.74,14.85592481834617
347,7.82,5.605368176452336
348,17.61,12.618404158297347
349,20.08,14.384129063395658
350,13.129999999999999,9.40917636404958
351,12.01,8.607772160627576
352,11.03,7.90561296572701
353,11.44,8.199498480713627
354,9.64,6.909146933027778
355,9.03,6.472944826996048
356,21.03,15.064858799292193
357,21.28,15.241651329983572
358,20.81,14.905166539929306
359,16.61,11.900195785782238
360,10.9,7.811541421027829
361,19.6,14.042357774231109
362,11.93,8.549612056837912
363,21.14,15.142848837580365
364,19.66,14.08227257574192
365,20.48,14.66940636306004
366,21.75,15.57857207483615
367,24.56,17.59005697149068
368,7.94,5.691583243640636
369,15.579999999999998,11.164474794331033
370,9.76,6.995156639055385
371,23.36,16.73505903963584
372,21.8,15.613832908998493
373,19.42,13.911121735769735
374,18.9,13.541711362091636
375,18.18,13.025690763066482
376,20.46,14.657907463114627
377,20.95,15.006222149112482
378,19.32,13.839773783920853
379,11.37,8.148848838830908
380,23.15,16.5819047178984
381,10.26,7.352966275363805
382,8.3,5.949025588086046
383,14.360000000000001,10.290805891545277
384,16.5,11.822050099662208
385,22.96,16.44645839813938
386,22.95,16.43799060711584
387,19.96,14.297257163362378
388,17.21,12.331120335792358
389,19.6,14.040336071346779
390,21.82,15.627738034768113
391,20.38,14.599575076825085
392,18.02,12.911491692593104
393,19.62,14.057064401030253
394,24.57,17.5988157865266
395,6.95,4.9815304444767925
396,20.45,14.65208416173813
397,20.73,14.853693272333574
398,16.24,11.636289282812387
399,20.24,14.497889316043024
400,16.36,11.721305650816342
401,21.1,15.113608689800238
402,22.48,16.103511274925392
403,22.36,16.015717304344175
404,7.039999999999999,5.0465507120734046
405,12.0,8.600409121754515
406,13.88,9.946063024335306
407,14.910000000000002,10.683825852242613
408,17.03,12.203114305995575
409,7.779999999999999,5.57657418782903
410,8.01,5.7415323514474315
411,20.73,14.848193696781557
412,19.11,13.689284907200093
413,14.45,10.354470327224345
414,21.54,15.42822906006881
415,8.2,5.87773182568882
416,18.9,13.539664659244034
417,8.54,6.121277465004791
418,22.0,15.760323967649814
419,4.27,3.061142635921885
420,19.4,13.897720066154685
421,18.74,13.424672908474806
422,11.09,7.947636094808945
423,20.12,14.41634798663771
424,17.7,12.680764314075397
425,8.38,6.006045048775955
426,20.2,14.470916463227018
427,12.480000000000002,8.943174237207304
428,20.34,14.5702460538937
429,10.55,7.560719525306223
430,20.21,14.476935331976092
431,23.75,17.010688058412807
432,15.480000000000002,11.09194989016697
433,10.66,7.640243228912111
434,13.070000000000002,9.36587021921873
435,14.000000000000002,10.03200837758301
436,20.44,14.640223586136523
437,20.78,14.88480937557523
438,22.32,15.985815842288154
439,22.64,16.216128274988115
440,24.25,17.37159531610096
441,11.16,7.99777285303165
442,21.08,15.100498875453741
443,9.37,6.715913779294587
444,8.98,6.436326764307442
445,7.039999999999999,5.046889707395061
446,17.99,12.888045960306053
447,20.16,14.440591646182186
448,17.14,12.280649471890818
449,20.42,14.625889317521017
450,9.92,7.1094690284817785
